Alpha,Beta,MAPprobability,Precision
1.0,2.0,0.0,18.0
1.0,2.9,0.0,25.69965517241379
1.0,3.71,0.0,34.14318355795148
1.0,4.439,0.0,42.91127292610948
1.0,5.0951,0.0,51.73297801325803
1.0,5.68559,0.0,60.420060131437715
2.0,5.217031,0.192,41.01839415004863
1.9,5.7953279,0.158,46.76367240023311
1.81,6.315795110000001,0.132,52.710342883805964
1.729,6.784215599,0.112,58.77869899361969
1.6561000000000001,7.205794039100001,0.096,64.9000506787577
1.5904900000000002,7.585214635190001,0.082,71.01408991804666
1.531441,7.926693171671001,0.07100000000000001,77.06777711891435
1.4782969000000001,8.234023854503901,0.062,83.01485518019066
1.4304672100000002,8.510621469053511,0.054,88.81559961598907
1.3874204890000001,8.75955932214816,0.048,94.43662228097331
1.3486784401,8.983603389933343,0.042,99.85064370233776
1.3138105960900002,9.18524305094001,0.037,105.03619890356144
1.282429536481,9.366718745846008,0.033,109.97726883799297
1.2541865828329002,9.530046871261408,0.029,114.66284470693213
1.2287679245496101,9.677042184135267,0.026000000000000002,119.08644044533476
1.205891132094649,9.809337965721742,0.023,123.2455721081818
1.1853020188851842,9.928404169149568,0.02,127.14122334388072
1.1667718169966657,10.03556375223461,0.018000000000000002,130.77731466325287
1.1500946352969992,10.13200737701115,0.016,134.1601915874374
1.1350851717672992,10.218806639310035,0.014,137.29814357470048
1.1215766545905694,10.296925975379033,0.013000000000000001,140.20096231828967
1.1094189891315125,10.36723337784113,0.012,142.87954487677248
1.0984770902183612,10.430510040057017,0.01,145.34554433499054
2.088629381196525,9.487459036051316,0.114,85.04679576754123
2.9797664430768727,8.638713132446185,0.20600000000000002,66.17201344232738
2.7817897987691858,8.874841819201567,0.185,69.65933946494593
2.603610818892267,9.08735763728141,0.165,73.31317943689817
2.4432497370030406,9.27862187355327,0.148,77.10696187523199
3.298924763302736,8.450759686197944,0.23600000000000002,63.1369618867265
3.0690322869724627,8.70568371757815,0.212,66.28996566632034
